,date,comp,round,team,day,venue,result,gf,ga,xg,xga,poss,opponent_gf,opponent_ga,opponent_xg,opponent_xga,opponent_poss,attendance,captain,opponent_captain,home_team_formation,away_team_formation,referee,sh,sot,dist,fk,pk,pkatt,opponent_sh,opponent_sot,opponent_dist,opponent_fk,opponent_pk,opponent_pkatt,season,opponent,team_salary,opponent_team_salary,gf_last_4_games,ga_last_4_games,xga_last_4_games,avg_points_last_4_games,opponent_gf_last_4_games,opponent_ga_last_4_games,opponent_xga_last_4_games,opponent_avg_points_last_4_games,team_overall,team_attack,team_midfield,team_defense,opponent_overall,opponent_attack,opponent_midfield,opponent_defense,sh_last_4_games,sot_last_4_games,dist_last_4_games,fk_last_4_games,pk_last_4_games,pkatt_last_4_games,xg_last_4_games,poss_last_4_games,opponent_sh_last_4_games,opponent_sot_last_4_games,opponent_dist_last_4_games,opponent_fk_last_4_games,opponent_pk_last_4_games,opponent_pkatt_last_4_games,opponent_xg_last_4_games,opponent_poss_last_4_games,datetime,hour
0,26.09.2020,Bundesliga,Matchweek 2,DSC Arminia Bielefeld,Sat,Home,W,1,0,0.2,1.4,47,0,1,1.4,0.2,53,5460,Fabian Klos,Jonas Hector,04.03.2003,4-2-3-1,Patrick Ittrich,7,2,26.3,0,0,0,12,2,15,0,0,0,2021,FC Köln,9590000,29970000,1,1,2.3,1,2,3,2.6,0,72,72,72,71,74,74,74,72,12,4,22.3,0,0,0,0.8,38,13,6,12,0,0,0,2.7,49,26.09.2020 15:30,15
1,17.10.2020,Bundesliga,Matchweek 4,DSC Arminia Bielefeld,Sat,Home,L,1,4,1.4,3.1,34,4,1,3.1,1.4,66,0,Fabian Klos,Manuel Neuer,4-2-3-1,4-2-3-1,Daniel Siebert,11,5,19.8,1,0,0,17,9,13.3,0,0,0,2021,FC Bayern München,9590000,224300000,0.666666667,0.666666667,1.366666667,1.333333333,4.333333333,2.333333333,1.3,2,72,72,72,71,84,92,85,82,9.333333333,3.333333333,22.23333333,0,0,0,0.7,49,19,7,16.96666667,1.333333333,0.666666667,0.666666667,2.966666667,66.66666667,17.10.2020 18:30,18
2,31.10.2020,Bundesliga,Matchweek 6,DSC Arminia Bielefeld,Sat,Home,L,0,2,0.3,2.4,25,2,0,2.4,0.3,75,0,Fabian Klos,Marco Reus,05.03.2002,4-2-3-1,Bastian Dankert,5,2,19.9,0,0,0,21,10,17.4,1,0,0,2021,Borussia Dortmund,9590000,90330000,0.75,1.75,1.775,0.75,2,0.5,0.775,2.25,72,72,72,71,81,87,81,81,9,3,22,0.5,0,0,0.8,48.75,16.75,6,16.2,0.5,0,0,1.925,68.5,31.10.2020 15:30,15
3,21.11.2020,Bundesliga,Matchweek 8,DSC Arminia Bielefeld,Sat,Home,L,1,2,0,1.2,31,2,1,1.2,0,69,0,Fabian Klos,Lars Bender,4-1-4-1,04.03.2003,Felix Brych,0,0,,0,0,0,8,4,14.1,0,0,0,2021,Bayer 04 Leverkusen,9590000,56200000,0.5,3.25,2.425,0,3,1.5,1.125,3,72,72,72,71,79,78,78,78,7.75,2.25,20.9,0.75,0,0,0.625,40,13.5,5.5,19.775,0,0.25,0.25,1.35,61.5,21.11.2020 15:30,15
4,05.12.2020,Bundesliga,Matchweek 10,DSC Arminia Bielefeld,Sat,Home,W,2,1,1.2,2.8,48,1,2,2.8,1.2,52,0,Fabian Klos,Moussa Niakhate,04.04.2002,03.04.2003,Marco Fritz,12,5,20.7,0,0,0,15,5,15,0,0,0,2021,FSV Mainz 05,9590000,19460000,0.5,2.75,2.025,0,1.75,1.75,1.725,1.25,72,72,72,71,73,72,73,73,6.25,1.5,18.63333333,0.25,0,0,0.55,36.75,12.25,5,17.25,0.25,0.5,0.5,2.3,37,05.12.2020 15:30,15
5,16.12.2020,Bundesliga,Matchweek 12,DSC Arminia Bielefeld,Wed,Home,L,0,1,0.6,0.4,48,1,0,0.4,0.6,52,0,Fabian Klos,Jeffrey Gouweleeuw,04.04.2002,3-4-1-2,Patrick Ittrich,12,2,20.5,0,0,0,9,2,22.3,0,0,0,2021,FC Augsburg,9590000,22920000,1,1.75,2.225,0.75,1.25,1.75,1.675,0.75,72,72,72,71,74,73,74,74,7.75,2.5,18.56666667,0,0,0,0.75,43.25,10,3.25,18.75,0.25,0,0,0.9,48,16.12.2020 20:30,20
6,02.01.2021,Bundesliga,Matchweek 14,DSC Arminia Bielefeld,Sat,Home,L,0,1,0.9,2.5,42,1,0,2.5,0.9,58,0,Fabian Klos,Lars Stindl,04.04.2002,4-2-3-1,Sascha Stegemann,7,0,19.6,0,0,0,24,6,17.9,1,0,0,2021,Borussia Mönchengladbach,9590000,48380000,0.75,1,1.5,1.5,1.75,2,2,0.75,72,72,72,71,79,78,79,80,9.5,3,18.725,0,0,0,0.75,50.5,12.25,3.75,19.9,0.75,0.5,0.5,1.625,56,02.01.2021 15:30,15
7,10.01.2021,Bundesliga,Matchweek 15,DSC Arminia Bielefeld,Sun,Home,W,1,0,0.7,0.6,49,0,1,0.6,0.7,51,0,Fabian Klos,Niklas Stark,04.04.2002,04.03.2003,Guido Winkmann,12,2,18.8,1,0,0,11,4,17.7,0,0,0,2021,Hertha BSC,9590000,37560000,0.25,1,1.425,0.75,1.25,1.25,1.525,1.25,72,72,72,71,76,77,76,75,8.25,1.75,18.45,0,0,0,0.675,49,12,3.75,17.325,0.25,0,0,1.3,57,10.01.2021 18:00,18
8,20.01.2021,Bundesliga,Matchweek 17,DSC Arminia Bielefeld,Wed,Home,W,3,0,1.8,1.4,35,0,3,1.4,1.8,65,0,Fabian Klos,Marc-Oliver Kempf,4-1-3-2,03.04.2003,Robert Hartmann,9,3,17.1,0,0,0,10,3,19,0,0,0,2021,VfB Stuttgart,9590000,18520000,0.5,0.25,1.025,1.75,1.5,1.25,1.65,1,72,72,72,71,73,74,73,72,9.25,1.75,17.925,0.5,0,0,0.825,48,15.5,4.25,15.775,0,0.5,0.5,1.9,53.5,20.01.2021 20:30,20
9,23.01.2021,Bundesliga,Matchweek 18,DSC Arminia Bielefeld,Sat,Home,L,1,5,0.5,2.4,44,5,1,2.4,0.5,56,0,Fabian Klos,Makoto Hasebe,4-1-3-2,03.04.2003,Robert Schröder,8,4,15.1,0,0,0,15,7,15.4,1,0,0,2021,Eintracht Frankfurt,9590000,35180000,1,0.25,1.275,1.75,2.25,1,0.65,2.5,72,72,72,71,77,79,77,75,9.25,1.75,18.55,0.5,0,0,1.025,43.25,13.5,5.75,17.1,0.5,0.5,0.5,1.775,55.5,23.01.2021 15:30,15
10,19.02.2021,Bundesliga,Matchweek 22,DSC Arminia Bielefeld,Fri,Home,L,0,3,0.6,1.5,45,3,0,1.5,0.6,55,0,Fabian Klos,Koen Casteels,4-4-1-1,4-2-3-1,Felix Brych,7,2,21.6,0,0,0,12,6,16.9,0,0,0,2021,VfL Wolfsburg,9590000,57870000,2,2.75,1.9,1,1.5,0,0.9,2.5,72,72,72,71,78,78,78,77,8.25,3.25,16.975,0,0,0,1.175,42.5,13.25,5.25,15.925,0,0,0,1.45,47.75,19.02.2021 20:30,20
11,07.03.2021,Bundesliga,Matchweek 24,DSC Arminia Bielefeld,Sun,Home,D,0,0,0.4,1.4,41,0,0,1.4,0.4,59,0,Fabian Klos,Christopher Trimmel,4-2-3-1,04.04.2002,Harm Osmers,4,2,17.2,0,0,0,8,3,14,0,0,0,2021,FC Union Berlin,9590000,17300000,1,3,2.025,0.25,0.5,0.5,1.1,1.25,72,72,72,71,73,75,72,73,7.75,2.5,19.3,0,0,0,0.95,43.5,12.5,2.75,18.325,0.25,0.25,0.25,1.4,44,07.03.2021 18:00,18
12,10.03.2021,Bundesliga,Matchweek 20,DSC Arminia Bielefeld,Wed,Home,L,0,2,3.1,1.6,59,2,0,1.6,3.1,41,0,Stefan Ortega,Theodor Gebre Selassie,4-2-3-1,03.04.2003,Markus Schmidt,26,8,14.5,1,0,0,5,2,12.4,0,0,0,2021,Werder Bremen,9590000,29900000,0.75,2.25,2.05,0.5,0.75,1.5,1.475,1.25,72,72,72,71,74,73,74,75,6.5,2.25,19.35,0,0,0,0.8,40,8.75,3.75,17.275,0.5,0,0,0.725,40,10.03.2021 18:30,18
13,19.03.2021,Bundesliga,Matchweek 26,DSC Arminia Bielefeld,Fri,Home,L,0,1,0.3,2.2,19,1,0,2.2,0.3,81,0,Fabian Klos,Marcel Sabitzer,4-3-1-2,03.04.2003,Frank Willenborg,7,0,19.1,0,0,0,20,8,19.9,0,0,0,2021,RB Leipzig,9590000,53870000,0.5,1.5,2,1,2.5,0.75,0.875,2.5,72,72,72,71,80,78,81,80,12.25,4.5,16.375,0.5,0,0,1.5,40.75,15.5,7.5,18.975,1,0,0,1.375,58,19.03.2021 20:30,20
14,09.04.2021,Bundesliga,Matchweek 28,DSC Arminia Bielefeld,Fri,Home,W,1,0,1.3,0.4,45,0,1,0.4,1.3,55,0,Fabian Klos,Christian Günter,4-2-3-1,03.05.2002,Martin Petersen,13,4,15.9,2,0,0,9,0,19,0,0,0,2021,SC Freiburg,9590000,14470000,0.75,1.25,2.025,1,0.75,1.5,1.45,0.75,72,72,72,71,74,75,75,73,13.5,4,17.025,0.75,0,0,1.4,36.25,10,3,18.55,0.75,0,0,1.15,51,09.04.2021 20:30,20
15,20.04.2021,Bundesliga,Matchweek 30,DSC Arminia Bielefeld,Tue,Home,W,1,0,2.2,0.3,44,0,1,0.3,2.2,56,0,Fabian Klos,Sead Kolašinac,04.03.2003,3-4-1-2,Christian Dingert,14,4,19.1,1,0,1,5,0,20.2,2,0,0,2021,Schalke 04,9590000,60620000,0.5,0.5,1.35,1.25,0.5,2.25,1.675,0.75,72,72,72,71,74,74,75,72,9.75,1.75,18.575,0.75,0,0,0.7,38.75,5.25,1.75,16.875,0.25,0,0,0.7,38,20.04.2021 20:30,20
16,15.05.2021,Bundesliga,Matchweek 33,DSC Arminia Bielefeld,Sat,Home,D,1,1,1.9,1.6,41,1,1,1.6,1.9,59,0,Fabian Klos,Andrej Kramarić,04.03.2003,4-2-3-1,Daniel Schlager,19,6,15.1,1,0,0,7,3,15.7,0,0,0,2021,TSG Hoffenheim,9590000,42870000,0.25,1.25,1.275,1.25,2,1.25,1.225,2,72,72,72,71,76,75,77,76,11.25,3.75,19.875,0.75,0,0.25,1.05,41.5,15.5,5.5,17.975,1,0,0,1.425,51.25,15.05.2021 15:30,15
17,14.08.2021,Bundesliga,Matchweek 1,DSC Arminia Bielefeld,Sat,Home,D,0,0,0.4,1.6,45,0,0,1.6,0.4,55,13750,Manuel Prietl,Christian Günter,4-1-2-1-2◆,03.04.2003,Sven Jablonski,10,3,20.7,0,0,0,15,5,13.2,0,0,0,2022,SC Freiburg,9880000,11180000,0,0,0,0,0,0,0,0,72,71,72,73,75,73,74,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.08.2021 15:30,15
18,28.08.2021,Bundesliga,Matchweek 3,DSC Arminia Bielefeld,Sat,Home,D,1,1,0.6,1.5,35,1,1,1.5,0.6,65,13750,Manuel Prietl,Martin Hinteregger,04.04.2002,4-2-3-1,Bastian Dankert,13,4,21.3,1,0,0,11,3,14.9,0,0,0,2022,Eintracht Frankfurt,9880000,35850000,0.5,0.5,2.05,1,1,2.5,1.5,0.5,72,71,72,73,76,76,77,75,9.5,2.5,18,0.5,0,0,0.6,40,15.5,4,14.75,0.5,0,0,1.45,50.5,28.08.2021 15:30,15
19,18.09.2021,Bundesliga,Matchweek 5,DSC Arminia Bielefeld,Sat,Home,D,0,0,1.1,1.1,42,0,0,1.1,1.1,58,13750,Manuel Prietl,Oliver Baumann,04.04.2002,4-2-3-1,Patrick Ittrich,9,2,15.2,0,0,0,16,3,15.4,0,0,0,2022,TSG Hoffenheim,9880000,40270000,0.75,1.25,1.825,0.75,2,1.75,1.675,1,72,71,72,73,77,78,76,76,12.5,4,18.925,0.5,0,0,0.9,37.75,10.25,4,15.95,0.75,0,0,1.925,55.5,18.09.2021 15:30,15
20,03.10.2021,Bundesliga,Matchweek 7,DSC Arminia Bielefeld,Sun,Home,L,0,4,0.4,3.1,34,4,0,3.1,0.4,66,16250,Manuel Prietl,Lukáš Hrádecký,04.04.2002,4-2-3-1,Felix Zwayer,10,2,19.5,0,0,0,17,6,18.4,1,1,1,2022,Bayer 04 Leverkusen,9880000,47660000,0.5,1.25,1.375,0.5,2.75,1.5,1.525,2.25,72,71,72,73,79,83,79,78,12.5,3.75,18.2,0.25,0,0,1,39.75,12.25,5.75,17.45,0.75,0,0,1.4,50.5,03.10.2021 19:30,19
21,23.10.2021,Bundesliga,Matchweek 9,DSC Arminia Bielefeld,Sat,Home,L,1,3,1.4,2.4,31,3,1,2.4,1.4,69,25000,Manuel Prietl,Marco Reus,3-4-1-2,03.04.2003,Benjamin Brand,15,6,21.1,0,1,1,13,6,17.1,0,1,1,2022,Borussia Dortmund,9880000,90190000,0.25,1.5,1.5,0.5,2.25,1.25,1.2,2.25,72,71,72,73,81,83,81,81,9.75,2,19.15,0.25,0,0,0.575,43,12.5,2.75,18.775,1,0.5,0.5,1.65,61,23.10.2021 15:30,15
22,30.10.2021,Bundesliga,Matchweek 10,DSC Arminia Bielefeld,Sat,Home,L,1,2,0.6,2.5,49,2,1,2.5,0.6,51,19477,Manuel Prietl,Robin Zentner,3-1-4-2,3-1-4-2,Bastian Dankert,14,5,25.2,0,0,0,16,4,17,1,0,0,2022,FSV Mainz 05,9880000,17180000,0.5,2.25,1.825,0.25,1.5,1.75,1.525,0.75,72,71,72,73,74,74,74,75,11.25,3,20.625,0.25,0.25,0.25,0.65,40.25,13,5,18.875,0.5,0,0,1.625,43,30.10.2021 15:30,15
